task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	25/ea04e8	5052	convert_raw_mzml (21)	COMPLETED	0	2020-05-03 06:46:27.866	4m 26s	4m 24s	88.7%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
18	ed/3a7e5c	15216	convert_raw_mzml (6)	COMPLETED	0	2020-05-03 06:46:55.772	4m 1s	4m	96.4%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
63	ee/45bda7	5906	convert_mzml_mzdb (7)	COMPLETED	0	2020-05-03 06:48:23.563	2m 35s	2m 33s	97.1%	580.1 MB	201.4 GB	2.8 GB	889.7 MB
36	4c/d72398	27240	convert_raw_mzml (16)	COMPLETED	0	2020-05-03 06:45:34.074	5m 37s	5m 35s	72.3%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
16	ab/323d80	39555	convert_raw_mzml (5)	COMPLETED	0	2020-05-03 06:46:09.686	5m 2s	5m	76.2%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
65	2f/059a76	15773	convert_mzml_mzdb (9)	COMPLETED	0	2020-05-03 06:48:52.119	2m 32s	2m 30s	98.4%	589.1 MB	201.5 GB	2.9 GB	897.5 MB
51	0d/a77759	37779	convert_raw_mzml (24)	COMPLETED	0	2020-05-03 06:46:05.343	5m 19s	5m 18s	77.2%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
66	45/227502	17683	convert_mzml_mzdb (10)	COMPLETED	0	2020-05-03 06:48:57.492	2m 32s	2m 31s	98.8%	577.2 MB	201.4 GB	2.8 GB	870.8 MB
67	2e/541257	22532	convert_mzml_mzdb (11)	COMPLETED	0	2020-05-03 06:49:10.793	2m 38s	2m 36s	98.7%	588.7 MB	201.5 GB	2.9 GB	894.5 MB
69	c4/c04756	30432	convert_mzml_mzdb (13)	COMPLETED	0	2020-05-03 06:49:32.159	2m 27s	2m 25s	99.0%	577 MB	201.4 GB	2.8 GB	881.4 MB
68	c9/a31084	25089	convert_mzml_mzdb (12)	COMPLETED	0	2020-05-03 06:49:17.452	2m 43s	2m 41s	99.2%	579.4 MB	201.4 GB	2.8 GB	883.7 MB
71	49/709d6b	33960	convert_mzml_mzdb (15)	COMPLETED	0	2020-05-03 06:49:40.990	2m 29s	2m 28s	96.5%	582.6 MB	201.4 GB	2.8 GB	884.7 MB
72	74/658916	34976	convert_mzml_mzdb (16)	COMPLETED	0	2020-05-03 06:49:42.371	2m 30s	2m 28s	96.5%	676.8 MB	201.4 GB	2.8 GB	872 MB
70	b8/91aaae	30726	convert_mzml_mzdb (14)	COMPLETED	0	2020-05-03 06:49:33.338	2m 44s	2m 42s	97.2%	596.3 MB	201.5 GB	2.9 GB	918.4 MB
73	05/e36221	35373	convert_mzml_mzdb (17)	COMPLETED	0	2020-05-03 06:49:43.301	2m 50s	2m 48s	97.3%	599 MB	201.5 GB	2.9 GB	914.7 MB
75	b6/ad8c90	45573	convert_mzml_mzdb (19)	COMPLETED	0	2020-05-03 06:50:08.839	2m 32s	2m 30s	95.9%	577.6 MB	201.4 GB	2.8 GB	868.5 MB
74	42/b7d0c4	38951	convert_mzml_mzdb (18)	COMPLETED	0	2020-05-03 06:49:50.788	2m 50s	2m 48s	95.0%	580.6 MB	201.4 GB	2.8 GB	883 MB
101	6d/a56491	8736	run_searchgui_search (24)	COMPLETED	0	2020-05-03 06:50:22.083	2m 25s	2m 23s	109.4%	869.9 MB	5.7 GB	1.4 GB	93.9 MB
99	97/694b2a	8739	run_searchgui_search (22)	COMPLETED	0	2020-05-03 06:50:22.089	2m 31s	2m 29s	109.3%	908 MB	5.6 GB	1.5 GB	96.1 MB
76	a4/484fd4	45632	convert_mzml_mzdb (20)	COMPLETED	0	2020-05-03 06:50:08.956	2m 47s	2m 45s	96.3%	581.4 MB	201.4 GB	2.8 GB	879.6 MB
77	fe/8495ad	7973	convert_mzml_mzdb (21)	COMPLETED	0	2020-05-03 06:50:20.723	2m 45s	2m 43s	96.9%	582.7 MB	201.4 GB	2.8 GB	881.4 MB
100	91/81f745	19093	run_searchgui_search (23)	COMPLETED	0	2020-05-03 06:50:49.910	2m 18s	2m 16s	109.8%	916.2 MB	6.5 GB	1.4 GB	92.8 MB
78	83/7ec967	20780	run_searchgui_search (1)	COMPLETED	0	2020-05-03 06:50:53.490	2m 17s	2m 16s	109.3%	868.3 MB	5.6 GB	1.4 GB	94.9 MB
82	1e/12e336	20730	run_searchgui_search (5)	COMPLETED	0	2020-05-03 06:50:53.355	2m 18s	2m 17s	109.4%	853 MB	5.7 GB	1.4 GB	89.6 MB
91	6b/a327bd	22955	run_searchgui_search (14)	COMPLETED	0	2020-05-03 06:50:57.105	2m 23s	2m 21s	109.9%	883.2 MB	6 GB	1.4 GB	95.3 MB
87	7f/43dcec	23644	run_searchgui_search (10)	COMPLETED	0	2020-05-03 06:50:58.223	2m 24s	2m 23s	109.4%	908 MB	6.1 GB	1.5 GB	97.2 MB
81	6e/52d167	31037	run_searchgui_search (4)	COMPLETED	0	2020-05-03 06:51:11.807	2m 15s	2m 13s	110.1%	868.3 MB	5.8 GB	1.4 GB	94.8 MB
